Study,Functional_unit,Typeweight,Species,Feed_or_place,Impact,Impact_dm_edible,Watercontent
Aubin et al. 2017,1 kg mussels,Dry weight,Mussel,onevalue-bouchotsystem,GWP (kg CO2 eq),7.556642636,80.58
Aubin et al. 2017,1 kg mussels,Dry weight,Mussel,onevalue-bouchotsystem,LU (m2),12.10092688,80.58
"Finnigan et al., 2010",1kg Mycoprotein,Dry weight,Mycoprotein,LCA1,GWP (kg CO2 eq),12.4,75
"Finnigan et al., 2010",1kg Mycoprotein,Dry weight,Mycoprotein,LCA1,LU (m2),21.2,75
"Finnigan et al., 2017",1kg Mycoprotein,Dry weight,Mycoprotein,Chapterbook,GWP (kg CO2 eq),6.4,75
"Gnansounou et al., (2016)",1 kg microalgae,Dry weight,Chlorella,Optimistic,GWP (kg CO2 eq),9.759679105,90.67
"Gnansounou et al., (2016)",1 kg microalgae,Dry weight,Chlorella,State of the art,GWP (kg CO2 eq),10.22621661,90.67
Henriksson et al 2017,1 kg Tilapia,Dry weight,Tilapia,Pond,GWP (kg CO2 eq),94.07674097,78.08
Henriksson et al 2017,1 kg Tilapia,Dry weight,Tilapia,Cage,GWP (kg CO2 eq),91.11757743,78.08
Henriksson et al 2017,1 kg Tilapia,Dry weight,Tilapia,Pond,LU (m2),106.653186,78.08
Henriksson et al 2017,1 kg Tilapia,Dry weight,Tilapia,Cage,LU (m2),103.4474255,78.08
Henriksson et al 2018,1 kg Tilapia,Dry weight,Tilapia,Pond Indonesia,GWP (kg CO2 eq),62.75892681,78.08
Henriksson et al 2018,1 kg Tilapia,Dry weight,Tilapia,Pond Indonesia,LU (m2),58.44347998,78.08
Irribarren et al 2010,1 kg mussels,Dry weight,Mussel,onevalue-raft,GWP (kg CO2 eq),10.12272571,80.58
"Joensuu & Silvenus, 2017",1 kg larvae,Dry weight,Mealworm,Baselinemean,GWP (kg CO2 eq),8.342303552,62.35
"Joensuu & Silvenus, 2017",1 kg larvae,Dry weight,Mealworm,By-productsmean,GWP (kg CO2 eq),8.073196986,62.35
