Country,Impact,Source,BEEF,PORK,EGGS,POUM,ANIMP,DAIR,SGMP,SWHE,SOYA,PULS,OFRU,MAIZ,RICE
BL000000,Land Use,LCAREA,0.002000436,0.000658645,0.000284443,0.000525613,0.000376445,0.000129284,0.001740176,,,,,,
DK000000,Land Use,LCAREA,0.002539214,0.000671929,0.00039278,0.000669309,0.000358201,0.000142989,0.001912776,,,,,,
DE000000,Land Use,LCAREA,0.002147398,0.000734991,0.000354082,0.000557648,0.000297349,0.000130273,0.00157288,,,,,,
EL000000,Land Use,LCAREA,0.008079694,0.000544022,0.000612113,0.000669596,0.001009762,0.000628168,0.005168351,,,,,,
ES000000,Land Use,LCAREA,0.007745859,0.001013175,0.000651145,0.001031923,0.001139653,0.000466789,0.006570961,,,,,,
FR000000,Land Use,LCAREA,0.004009386,0.000600817,0.000359187,0.000619626,0.000473966,0.000177522,0.002796131,,,,,,
IR000000,Land Use,LCAREA,0.002974435,0.000465469,0.000398688,0.000387719,0.000429108,0.00013232,0.002124614,,,,,,
IT000000,Land Use,LCAREA,0.002677894,0.00075865,0.000364655,0.00066614,0.000484775,0.000245286,0.006560527,,,,,,
NL000000,Land Use,LCAREA,0.001255265,0.00052528,0.000312487,0.000441326,0.000207707,0.000106639,0.001992694,,,,,,
AT000000,Land Use,LCAREA,0.003987091,0.000726697,0.000337451,0.000601181,0.000505748,0.000208037,0.002840905,,,,,,
PT000000,Land Use,LCAREA,0.00555878,0.000768483,0.000679448,0.000721336,0.000658806,0.000288283,0.006595776,,,,,,
SE000000,Land Use,LCAREA,0.00435541,0.000891908,0.000539098,0.000856901,0.000430225,0.000192246,0.003566857,,,,,,
FI000000,Land Use,LCAREA,0.003492226,0.00107727,0.000608347,0.000929347,0.00043216,0.000237875,0.005718462,,,,,,
UK000000,Land Use,LCAREA,0.005158228,0.000582209,0.000364439,0.00059851,0.000505814,0.000162283,0.003315044,,,,,,
CY000000,Land Use,LCAREA,0.006452841,0.001496317,0.001683171,0.001786991,0.001070485,0.000485079,0.004659458,,,,,,
CZ000000,Land Use,LCAREA,0.00441868,0.001079332,0.000609921,0.000697524,0.000491968,0.00021617,0.000937672,,,,,,
EE000000,Land Use,LCAREA,0.006160047,0.001340891,0.00101624,0.001432684,0.000586979,0.000318011,0.004621888,,,,,,
HU000000,Land Use,LCAREA,0.008044332,0.00125639,0.000715158,0.001022852,0.000730945,0.000314194,0.00556466,,,,,,
LT000000,Land Use,LCAREA,0.006685736,0.001154593,0.000865031,0.001110943,0.000641164,0.000373704,0.003008944,,,,,,
LV000000,Land Use,LCAREA,0.010789756,0.001797798,0.001319287,0.002843053,0.000937086,0.000547364,0.004868168,,,,,,
MT000000,Land Use,LCAREA,0.002515644,0.000697157,0.000465041,0.000711917,0.000404385,0.000199607,0.003450361,,,,,,
PL000000,Land Use,LCAREA,0.003909892,0.001029992,0.000844265,0.001063058,0.000547272,0.000285584,0.002111988,,,,,,
SI000000,Land Use,LCAREA,0.003267438,0.000683909,0.000236233,0.00056413,0.000492454,0.000201523,0.011419078,,,,,,
SK000000,Land Use,LCAREA,0.004960449,0.000911995,0.000759634,0.000855822,0.000611373,0.000318812,0.003969297,,,,,,
BG000000,Land Use,LCAREA,0.00650928,0.001272432,0.001059141,0.001181836,0.000977391,0.000572406,0.005486769,,,,,,
RO000000,Land Use,LCAREA,0.005936805,0.001235892,0.001142984,0.001226459,0.000875879,0.000527483,0.005320752,,,,,,
EU027000,Land Use,LCAREA,0.003869783,0.000804165,0.000515165,0.000740886,0.000507576,0.000218881,0.004335789,,,,,,
BL000000,GHG emissions,N2OMA2,0.613642942,0.730201205,0.554579566,0.329213638,0.244949597,0.031078897,0.245581086,,,,,,
BL000000,GHG emissions,N2OAPL,1.426243969,0.172925016,0.107956177,0.182268751,0.210038221,0.112397184,2.461436855,,,,,,
BL000000,GHG emissions,N2OGRC,0.705626927,0.03406906,0.020589247,0.034299651,0.087677514,0.052579919,0.781524428,,,,,,
BL000000,GHG emissions,N2OSYN,0.710924411,0.272504362,0.177237027,0.285873943,0.145970963,0.042014045,0.577079749,,,,,,
BL000000,GHG emissions,N2OHIL,0.042504516,0.032439812,0.013842095,0.025258429,0.012521832,0.002567874,0.026277181,,,,,,
BL000000,GHG emissions,N2OLEL,0.252239334,0.055557634,0.02748545,0.05182291,0.038667292,0.012821274,0.2562307,,,,,,
BL000000,GHG emissions,N2OCRL,0.500146739,0.148211689,0.04785572,0.097015508,0.088531122,0.032287477,0.570828332,,,,,,
BL000000,GHG emissions,N2OAML,0.252241747,0.138105439,0.027288891,0.040582434,0.057575886,0.016464058,0.105295528,,,,,,
BL000000,GHG emissions,N2OPRL,0.225355702,0.143586047,0.095234468,0.157921301,0.061417611,0.012170047,0.179313648,,,,,,
BL000000,GHG emissions,N2OBUL,0.009084919,0.004656259,0.001105202,0.002518285,0.002010886,0.000529635,0.005680315,,,,,,
BL000000,GHG emissions,N2OSOL,0.399023996,0.19561197,0.040372038,0.098318026,0.085752067,0.023352747,0.250880181,,,,,,
BL000000,GHG emissions,CH4EN2,7.503135076,0.182154951,,,0.795274666,0.43973579,9.227415663,,,,,,
BL000000,GHG emissions,CH4MA2,0.463766253,0.77684135,0.009865015,0.038191558,0.222354657,0.048229641,0.219151122,,,,,,
