Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Water,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,61.3,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Protein (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,41.2,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Chitin corrected protein,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,33.8,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Chitin,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,6.2,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Ca (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,2870,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
I (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Fe (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,35,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Zn (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,16,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Vit. B12 (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Vitamin D2(µg),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Vitamin D3,ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
Vit. D (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_chicken feed_Future foods
