Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F
"3","'008","Albania","1357","Pesticides (total)","5157","Agricultural Use","t","121.000000","A","121.000000","A","121.000000","A","121.000000","A","201.000000","A","251.000000","A","262.400000","A","273.790000","A","285.190000","A","296.590000","A","307.980000","A","319.380000","A","330.780000","A","342.170000","A","353.570000","A","364.970000","A","376.360000","A","387.760000","A","399.160000","A","410.550000","A","590.500000","A","582.680000","A","361.620000","A","450.600000","A","457.470000","A","538.240000","A","584.490000","A","614.910000","A","442.350000","A","729.670000","A","756.510000","A","756.510000","A"
"3","'008","Albania","1357","Pesticides (total)","5159","Use per area of cropland","kg/ha","0.170000","E","0.170000","E","0.170000","E","0.170000","E","0.290000","E","0.360000","E","0.370000","E","0.390000","E","0.410000","E","0.420000","E","0.440000","E","0.460000","E","0.470000","E","0.490000","E","0.510000","E","0.550000","E","0.530000","E","0.560000","E","0.570000","E","0.590000","E","0.850000","E","0.840000","E","0.520000","E","0.650000","E","0.660000","E","0.770000","E","0.830000","E","0.880000","E","0.640000","E","1.050000","E","1.100000","E","1.100000","E"
"3","'008","Albania","1357","Pesticides (total)","5172","Use per capita","kg/cap","0.040000","E","0.040000","E","0.040000","E","0.040000","E","0.060000","E","0.080000","E","0.080000","E","0.080000","E","0.090000","E","0.090000","E","0.100000","E","0.100000","E","0.110000","E","0.110000","E","0.120000","E","0.120000","E","0.130000","E","0.130000","E","0.140000","E","0.140000","E","0.200000","E","0.200000","E","0.130000","E","0.160000","E","0.160000","E","0.190000","E","0.200000","E","0.210000","E","0.150000","E","0.250000","E","0.260000","E","0.270000","E"
"3","'008","Albania","1357","Pesticides (total)","5173","Use per value of agricultural production","kg/1000 Int.$","0.120000","E","0.140000","E","0.120000","E","0.110000","E","0.170000","E","0.200000","E","0.200000","E","0.220000","E","0.220000","E","0.230000","E","0.230000","E","0.230000","E","0.240000","E","0.240000","E","0.230000","E","0.250000","E","0.240000","E","0.250000","E","0.250000","E","0.250000","E","0.330000","E","0.310000","E","0.180000","E","0.230000","E","0.230000","E","0.260000","E","0.280000","E","0.290000","E","0.200000","E","0.340000","E","0.350000","E","0.360000","E"
"3","'008","Albania","1309","Insecticides","5157","Agricultural Use","t","70.000000","I","70.000000","I","70.000000","I","70.000000","A","117.000000","A","145.000000","A","149.920000","I","154.840000","I","159.760000","I","164.680000","I","169.600000","I","174.520000","I","179.440000","I","184.360000","I","189.280000","I","194.200000","I","199.120000","I","204.040000","I","208.960000","I","213.880000","E","375.800000","E","317.070000","E","157.570000","E","214.130000","E","34.480000","E","148.690000","E","182.280000","E","191.370000","E","119.320000","E","141.790000","E","146.750000","A","146.750000","I"
"3","'008","Albania","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","t",,,,,,,"10.000000","A","17.000000","A","22.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","t",,,,,,,"30.000000","A","50.000000","A","64.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1312","Insecticides – Carbamates","5157","Agricultural Use","t",,,,,,,"14.000000","A","26.000000","A","30.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1313","Insecticides – Pyrethroids","5157","Agricultural Use","t",,,,,,,"1.000000","A","2.000000","A","2.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1315","Insecticides – Other","5157","Agricultural Use","t",,,,,,,"15.000000","A","22.000000","A","27.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
